date,name,zipcode,value_origin,value
2020/7/1,zip_6,77007,96.91 ,97 
2020/8/1,zip_6,77007,94.21 ,94 
2020/9/1,zip_6,77007,93.91 ,94 
2020/10/1,zip_6,77007,95.71 ,96 
2020/11/1,zip_6,77007,89.21 ,89 
2020/12/1,zip_6,77007,95.83 ,96 
2021/1/1,zip_6,77007,105.09 ,105 
2021/2/1,zip_6,77007,97.35 ,97 
2021/3/1,zip_6,77007,98.55 ,99 
2021/4/1,zip_6,77007,97.65 ,98 
2021/5/1,zip_6,77007,102.75 ,103 
2021/6/1,zip_6,77007,99.05 ,99 
2021/7/1,zip_6,77007,102.85 ,103 
2021/8/1,zip_6,77007,100.15 ,100 
2021/9/1,zip_6,77007,99.85 ,100 
2021/10/1,zip_6,77007,101.65 ,102 
2021/11/1,zip_6,77007,95.15 ,95 
2021/12/1,zip_6,77007,101.77 ,102 
2020/1/1,zip_7,77036,110.24 ,110 
2020/2/1,zip_7,77036,97.38 ,97 
2020/3/1,zip_7,77036,105.25 ,105 
2020/4/1,zip_7,77036,107.94 ,108 
2020/5/1,zip_7,77036,112.19 ,112 
2020/6/1,zip_7,77036,106.49 ,106 
2020/7/1,zip_7,77036,110.21 ,110 
2020/8/1,zip_7,77036,106.95 ,107 
2020/9/1,zip_7,77036,99.16 ,99 
2020/10/1,zip_7,77036,108.40 ,108 
2020/11/1,zip_7,77036,105.02 ,105 
2020/12/1,zip_7,77036,97.50 ,97 
2021/1/1,zip_7,77036,136.51 ,137 
2021/2/1,zip_7,77036,122.47 ,122 
2021/3/1,zip_7,77036,122.67 ,123 
2021/4/1,zip_7,77036,123.41 ,123 
2021/5/1,zip_7,77036,130.51 ,131 
2021/6/1,zip_7,77036,114.89 ,115 
2021/7/1,zip_7,77036,128.90 ,129 
2021/8/1,zip_7,77036,114.47 ,114 
2021/9/1,zip_7,77036,120.29 ,120 
2021/10/1,zip_7,77036,122.20 ,122 
2021/11/1,zip_7,77036,121.51 ,122 
2021/12/1,zip_7,77036,109.60 ,110 
2020/1/1,zip_8,77008,84.2101525,84 
2020/2/1,zip_8,77008,81.40355123,81 
2020/3/1,zip_8,77008,79.14928171,79 
2020/4/1,zip_8,77008,74.55300547,75 
2020/5/1,zip_8,77008,87.77547593,88 
2020/6/1,zip_8,77008,84.95411243,85 
2020/7/1,zip_8,77008,80.81660604,81 
2020/8/1,zip_8,77008,84.2146293,84 
2020/9/1,zip_8,77008,79.23632733,79 
2020/10/1,zip_8,77008,83.61393134,84 
2020/11/1,zip_8,77008,80.13068467,80 
2020/12/1,zip_8,77008,73.85081263,74 
2021/1/1,zip_8,77008,92.21085241,92 
2021/2/1,zip_8,77008,90.23044786,90 
2021/3/1,zip_8,77008,89.41073261,89 
2021/4/1,zip_8,77008,86.16677502,86 
2021/5/1,zip_8,77008,97.59576624,98 
2021/6/1,zip_8,77008,93.44710885,93 
2021/7/1,zip_8,77008,90.76965375,91 
2021/8/1,zip_8,77008,94.32331161,94 
2021/9/1,zip_8,77008,91.55783815,92 
2021/10/1,zip_8,77008,95.13075528,95 
2021/11/1,zip_8,77008,92.54582919,93 
2021/12/1,zip_8,77008,87.45096151,87 
2020/1/1,zip_9,77098,79.79293981,80 
2020/2/1,zip_9,77098,69.43506195,69 
2020/3/1,zip_9,77098,63.55264052,64 
2020/4/1,zip_9,77098,61.39958783,61 
2020/5/1,zip_9,77098,70.68833912,71 
2020/6/1,zip_9,77098,70.50832052,71 
2020/7/1,zip_9,77098,59.96276348,60 
2020/8/1,zip_9,77098,69.58874397,70 
2020/9/1,zip_9,77098,63.31166229,63 
2020/10/1,zip_9,77098,68.29925221,68 
2020/11/1,zip_9,77098,65.44815926,65 
2020/12/1,zip_9,77098,62.45478301,62 
2021/1/1,zip_9,77098,82.86405014,83 
2021/2/1,zip_9,77098,78.291144,78 
2021/3/1,zip_9,77098,73.96557603,74 
2021/4/1,zip_9,77098,63.41216681,63 
2021/5/1,zip_9,77098,77.65567963,78 
2021/6/1,zip_9,77098,72.53456506,73 
2021/7/1,zip_9,77098,69.40054204,69 
2021/8/1,zip_9,77098,73.51651173,74 
2021/9/1,zip_9,77098,68.28794752,68 
2021/10/1,zip_9,77098,70.78771325,71 
2021/11/1,zip_9,77098,71.98707707,72 
2021/12/1,zip_9,77098,66.49735662,66 
2020/1/1,zip_10,77084,93.31311192,93 
2020/2/1,zip_10,77084,82.7729552,83 
2020/3/1,zip_10,77084,97.26802295,97 
2020/4/1,zip_10,77084,91.69407685,92 
2020/5/1,zip_10,77084,90.95767387,91 
2020/6/1,zip_10,77084,87.24032875,87 
2020/7/1,zip_10,77084,82.53680334,83 
2020/8/1,zip_10,77084,83.40744188,83 
2020/9/1,zip_10,77084,87.36205702,87 
2020/10/1,zip_10,77084,93.0493961,93 
2020/11/1,zip_10,77084,76.93536916,77 
2020/12/1,zip_10,77084,76.56822858,77 
2021/1/1,zip_10,77084,114.7810579,115 
2021/2/1,zip_10,77084,100.8851822,101 
2021/3/1,zip_10,77084,116.1789722,116 
2021/4/1,zip_10,77084,110.9878742,111 
2021/5/1,zip_10,77084,102.8959488,103 
2021/6/1,zip_10,77084,95.5436291,96 
2021/7/1,zip_10,77084,96.18688216,96 
2021/8/1,zip_10,77084,100.7733857,101 
2021/9/1,zip_10,77084,99.23231963,99 
2021/10/1,zip_10,77084,115.1428599,115 
2021/11/1,zip_10,77084,88.56196251,89 
2021/12/1,zip_10,77084,95.31972429,95 
