date,value
2010-01-01,21
2010-02-01,10
2010-03-01,11
2010-04-01,8
2010-05-01,11
2010-06-01,15
2010-07-01,7
2010-08-01,13
2010-09-01,14
2010-10-01,18
2010-11-01,18
2010-12-01,12
2011-01-01,10
2011-02-01,13
2011-03-01,8
2011-04-01,17
2011-05-01,11
2011-06-01,19
2011-07-01,19
2011-08-01,18
2011-09-01,13
2011-10-01,13
2011-11-01,11
2011-12-01,18
2012-01-01,20
2012-02-01,16
2012-03-01,20
2012-04-01,13
2012-05-01,11
2012-06-01,8
2012-07-01,11
2012-08-01,7
2012-09-01,12
2012-10-01,23
2012-11-01,19
2012-12-01,15
2013-01-01,20
2013-02-01,20
2013-03-01,11
2013-04-01,17
2013-05-01,23
2013-06-01,17
2013-07-01,20
2013-08-01,25
2013-09-01,14
2013-10-01,17
2013-11-01,11
2013-12-01,19
2014-01-01,25
2014-02-01,17
2014-03-01,17
2014-04-01,21
2014-05-01,36
2014-06-01,31
2014-07-01,20
2014-08-01,32
2014-09-01,24
2014-10-01,23
2014-11-01,22
2014-12-01,21
2015-01-01,26
2015-02-01,26
2015-03-01,41
2015-04-01,19
2015-05-01,25
2015-06-01,26
2015-07-01,23
2015-08-01,21
2015-09-01,15
2015-10-01,33
2015-11-01,19
2015-12-01,22
2016-01-01,29
2016-02-01,28
2016-03-01,41
2016-04-01,26
2016-05-01,39
2016-06-01,36
2016-07-01,30
2016-08-01,35
2016-09-01,33
2016-10-01,29
2016-11-01,22
2016-12-01,29
2017-01-01,36
2017-02-01,32
2017-03-01,40
2017-04-01,43
2017-05-01,38
2017-06-01,35
2017-07-01,35
2017-08-01,38
2017-09-01,25
2017-10-01,45
2017-11-01,25
2017-12-01,28
2018-01-01,52
2018-02-01,39
2018-03-01,54
2018-04-01,44
2018-05-01,54
2018-06-01,52
2018-07-01,39
2018-08-01,36
2018-09-01,55
2018-10-01,43
2018-11-01,40
2018-12-01,30
2019-01-01,78
2019-02-01,65
2019-03-01,81
2019-04-01,74
2019-05-01,58
2019-06-01,47
2019-07-01,56
2019-08-01,67
2019-09-01,50
2019-10-01,84
2019-11-01,43
2019-12-01,63
