date,value
2010-01-01,38
2010-02-01,32
2010-03-01,36
2010-04-01,28
2010-05-01,34
2010-06-01,33
2010-07-01,29
2010-08-01,37
2010-09-01,36
2010-10-01,27
2010-11-01,39
2010-12-01,40
2011-01-01,58
2011-02-01,44
2011-03-01,31
2011-04-01,45
2011-05-01,40
2011-06-01,38
2011-07-01,39
2011-08-01,59
2011-09-01,63
2011-10-01,57
2011-11-01,37
2011-12-01,67
2012-01-01,57
2012-02-01,55
2012-03-01,46
2012-04-01,50
2012-05-01,63
2012-06-01,45
2012-07-01,43
2012-08-01,49
2012-09-01,49
2012-10-01,65
2012-11-01,71
2012-12-01,97
2013-01-01,67
2013-02-01,46
2013-03-01,44
2013-04-01,52
2013-05-01,72
2013-06-01,52
2013-07-01,52
2013-08-01,54
2013-09-01,64
2013-10-01,62
2013-11-01,45
2013-12-01,57
2014-01-01,62
2014-02-01,61
2014-03-01,82
2014-04-01,74
2014-05-01,77
2014-06-01,75
2014-07-01,57
2014-08-01,50
2014-09-01,91
2014-10-01,68
2014-11-01,59
2014-12-01,88
2015-01-01,82
2015-02-01,70
2015-03-01,69
2015-04-01,68
2015-05-01,65
2015-06-01,74
2015-07-01,84
2015-08-01,85
2015-09-01,51
2015-10-01,85
2015-11-01,73
2015-12-01,59
2016-01-01,77
2016-02-01,81
2016-03-01,87
2016-04-01,76
2016-05-01,75
2016-06-01,96
2016-07-01,81
2016-08-01,76
2016-09-01,73
2016-10-01,83
2016-11-01,82
2016-12-01,99
2017-01-01,112
2017-02-01,80
2017-03-01,90
2017-04-01,78
2017-05-01,99
2017-06-01,83
2017-07-01,89
2017-08-01,60
2017-09-01,69
2017-10-01,75
2017-11-01,74
2017-12-01,105
2018-01-01,130
2018-02-01,78
2018-03-01,93
2018-04-01,97
2018-05-01,139
2018-06-01,130
2018-07-01,82
2018-08-01,108
2018-09-01,91
2018-10-01,111
2018-11-01,100
2018-12-01,72
2019-01-01,141
2019-02-01,99
2019-03-01,104
2019-04-01,86
2019-05-01,101
2019-06-01,110
2019-07-01,88
2019-08-01,99
2019-09-01,96
2019-10-01,128
2019-11-01,84
2019-12-01,105
