date,value
2010-01-01,38
2010-02-01,29
2010-03-01,24
2010-04-01,21
2010-05-01,17
2010-06-01,21
2010-07-01,22
2010-08-01,21
2010-09-01,15
2010-10-01,25
2010-11-01,20
2010-12-01,47
2011-01-01,31
2011-02-01,27
2011-03-01,34
2011-04-01,17
2011-05-01,23
2011-06-01,30
2011-07-01,25
2011-08-01,34
2011-09-01,33
2011-10-01,23
2011-11-01,21
2011-12-01,34
2012-01-01,39
2012-02-01,30
2012-03-01,48
2012-04-01,19
2012-05-01,37
2012-06-01,19
2012-07-01,43
2012-08-01,31
2012-09-01,37
2012-10-01,45
2012-11-01,39
2012-12-01,47
2013-01-01,55
2013-02-01,39
2013-03-01,47
2013-04-01,30
2013-05-01,46
2013-06-01,37
2013-07-01,42
2013-08-01,25
2013-09-01,41
2013-10-01,56
2013-11-01,35
2013-12-01,46
2014-01-01,50
2014-02-01,47
2014-03-01,44
2014-04-01,49
2014-05-01,42
2014-06-01,41
2014-07-01,34
2014-08-01,42
2014-09-01,41
2014-10-01,40
2014-11-01,43
2014-12-01,55
2015-01-01,37
2015-02-01,39
2015-03-01,39
2015-04-01,57
2015-05-01,46
2015-06-01,48
2015-07-01,51
2015-08-01,53
2015-09-01,58
2015-10-01,41
2015-11-01,33
2015-12-01,43
2016-01-01,70
2016-02-01,47
2016-03-01,52
2016-04-01,40
2016-05-01,46
2016-06-01,54
2016-07-01,39
2016-08-01,56
2016-09-01,48
2016-10-01,32
2016-11-01,61
2016-12-01,45
2017-01-01,93
2017-02-01,48
2017-03-01,62
2017-04-01,47
2017-05-01,61
2017-06-01,44
2017-07-01,61
2017-08-01,44
2017-09-01,47
2017-10-01,63
2017-11-01,57
2017-12-01,59
2018-01-01,93
2018-02-01,55
2018-03-01,64
2018-04-01,76
2018-05-01,63
2018-06-01,104
2018-07-01,78
2018-08-01,73
2018-09-01,74
2018-10-01,70
2018-11-01,75
2018-12-01,71
2019-01-01,125
2019-02-01,83
2019-03-01,98
2019-04-01,95
2019-05-01,104
2019-06-01,88
2019-07-01,108
2019-08-01,90
2019-09-01,86
2019-10-01,74
2019-11-01,85
2019-12-01,84
