date,value
2010-01-01,35
2010-02-01,32
2010-03-01,27
2010-04-01,26
2010-05-01,51
2010-06-01,23
2010-07-01,39
2010-08-01,31
2010-09-01,38
2010-10-01,31
2010-11-01,41
2010-12-01,47
2011-01-01,43
2011-02-01,28
2011-03-01,44
2011-04-01,33
2011-05-01,51
2011-06-01,32
2011-07-01,22
2011-08-01,50
2011-09-01,32
2011-10-01,45
2011-11-01,35
2011-12-01,57
2012-01-01,56
2012-02-01,52
2012-03-01,35
2012-04-01,56
2012-05-01,41
2012-06-01,46
2012-07-01,36
2012-08-01,43
2012-09-01,52
2012-10-01,69
2012-11-01,51
2012-12-01,77
2013-01-01,56
2013-02-01,50
2013-03-01,54
2013-04-01,64
2013-05-01,81
2013-06-01,65
2013-07-01,57
2013-08-01,59
2013-09-01,51
2013-10-01,65
2013-11-01,49
2013-12-01,63
2014-01-01,85
2014-02-01,86
2014-03-01,67
2014-04-01,56
2014-05-01,46
2014-06-01,52
2014-07-01,87
2014-08-01,65
2014-09-01,71
2014-10-01,87
2014-11-01,42
2014-12-01,59
2015-01-01,75
2015-02-01,49
2015-03-01,70
2015-04-01,51
2015-05-01,56
2015-06-01,75
2015-07-01,76
2015-08-01,58
2015-09-01,69
2015-10-01,57
2015-11-01,53
2015-12-01,74
2016-01-01,90
2016-02-01,70
2016-03-01,56
2016-04-01,67
2016-05-01,77
2016-06-01,71
2016-07-01,65
2016-08-01,81
2016-09-01,85
2016-10-01,64
2016-11-01,56
2016-12-01,71
2017-01-01,90
2017-02-01,93
2017-03-01,102
2017-04-01,88
2017-05-01,115
2017-06-01,110
2017-07-01,82
2017-08-01,83
2017-09-01,83
2017-10-01,94
2017-11-01,53
2017-12-01,66
2018-01-01,112
2018-02-01,108
2018-03-01,102
2018-04-01,110
2018-05-01,117
2018-06-01,102
2018-07-01,112
2018-08-01,111
2018-09-01,87
2018-10-01,110
2018-11-01,116
2018-12-01,117
2019-01-01,195
2019-02-01,131
2019-03-01,165
2019-04-01,155
2019-05-01,130
2019-06-01,157
2019-07-01,124
2019-08-01,159
2019-09-01,139
2019-10-01,166
2019-11-01,134
2019-12-01,159
